rid,stable_id,joke,joke_cleaned,word_count,topic,topic_all_nouns,combo_key,combo_freq
78992,1bda9c7c096d5e67d1a4a0d81bdcc7edce86bc24,Heres a joke. An Irish man walks out of a bar.,heres a joke . an irish man walks out of a bar .,13,"man, bar","man, bar","bar, man",379
84272,1db8c650ce7174998996a0ccf54979338a24f56e,Why did the 3 men go in to the bar?.. To get drunk,why did the 3 men go in to the bar ?  ...  to get drunk,15,"man, bar","man, bar","bar, man",379
84745,1de653d7013dd723738b0ee86188b40a70798a9d,another bar joke... A man walks in to a bar but nobody made a joke outta him coz the joke's on you.,another bar joke ...  a man walks in to a bar but nobody made a joke outta him coz the joke's on you .,24,"bar, man","bar, man","bar, man",379
93891,212a0fd71e326d90ddd9cabaaf2f5998c83e038e,Sry A man walked into a bar. He said ow,sry a man walked into a bar . he said ow,11,"man, bar","man, bar","bar, man",379
95683,21c5693c8b2ab2bd5176f4a60f8a9029eec0c42e,Two men walk into a bar. You think one of them would have seen it...,two men walk into a bar . you think one of them would have seen it ...,17,"man, bar","man, bar","bar, man",379
105262,25294f6dfeaba33a478e209058149c96c06a3943,A blind man walked into a bar. He wished he wasn't blind.,a blind man walked into a bar . he wished he wasn't blind .,14,"man, bar","man, bar","bar, man",379
106678,25abd3d5b7911033d08832787f843ffc84fcb028,"So a man walks into a bar. And he says ""Owch that really fucking hurt!""","so a man walks into a bar . and he says "" owch that really fucking hurt ! """,19,"man, bar","man, bar","bar, man",379
108102,263043a870693a413d0d7e5efd1f8d8c5b1e98b8,So two men walk into a bar... Which is weird. You'd think the second one would have noticed it!,so two men walk into a bar ...  which is weird . you'd think the second one would have noticed it !,22,"man, bar","man, bar","bar, man",379
109705,26b5f84e692ecfb61b8d9794bbdecc8975293acc,When does a heterosexual man leave a gay bar? Straight away.,when does a heterosexual man leave a gay bar ? straight away .,13,"man, bar","man, bar","bar, man",379
110203,26df0fbae5495a2a3d7d2b1848be184d9d53b28e,"A blind man walks into a bar. I mean, what did you expect — He's blind","a blind man walks into a bar . i mean , what did you expect he's blind",17,"man, bar","man, bar","bar, man",379
110574,27004bd9d0f61df1ffced7d904ecb34d09f406dc,Two men walk into a bar You would've thought one of them would of seen it,two men walk into a bar you would've thought one of them would of seen it,16,"man, bar","man, bar","bar, man",379
111758,27668a8ce8993bdbd9c98e52b6f3b35e9819d90b,"A blind man walks into a bar ""Ouch!""","a blind man walks into a bar "" ouch ! """,11,"man, bar","man, bar","bar, man",379
111913,2774fd30968c59244da963042c39187bff1b68db,A blind man walks into a bar He didn't see it coming.,a blind man walks into a bar he didn't see it coming .,13,"man, bar","man, bar","bar, man",379
114266,284d6ae7db048515d73879a5d43dea3c4f5d52a5,An Irish man walks into a bar... And never walks out,an irish man walks into a bar ...  and never walks out,12,"man, bar","man, bar","bar, man",379
120370,2a6b7cca7da21b257ae2a8d12fda9a7283d0bfc2,"Two Irish men walk out of a bar Yes, it happens","two irish men walk out of a bar yes , it happens",12,"man, bar","man, bar","bar, man",379
122432,2b246778291e3e5b1bc7a32192c996e3b39a957e,"Two Irish men walk out of a bar. Wait, that's possible!?","two irish men walk out of a bar . wait , that's possible ! ?",15,"man, bar","man, bar","bar, man",379
123407,2b7c4d852eb34444a5d6977ef9fcb4ed62ec6285,A blind man walks into a bar. Ouch.,a blind man walks into a bar . ouch .,10,"man, bar","man, bar","bar, man",379
123593,2b8dc0f17d7b26de733d529c31eaa691329f941f,Two Irish men walk into a bar.... What else is new?,two irish men walk into a bar ...  what else is new ?,13,"man, bar","man, bar","bar, man",379
123900,2ba923f9f73cb92a647b539a58f8cc8952fa44ae,"A White Man and a Black Man Walk Into A Bar ""Ouch!"" They Both Exclaim.","a white man and a black man walk into a bar "" ouch ! "" they both exclaim .",19,"man, bar","man, bar","bar, man",379
124289,2bcb8f2b75ba9091e96c6a6febe8b8c3d58e6fa3,A man walked into a bar He was knocked unconscious.....,a man walked into a bar he was knocked unconscious ...,11,"man, bar","man, bar","bar, man",379
124520,2bdfb7a5b53a2f98db8c25516e756cc432bb526b,"A man walked into a bar then said ""ouch""","a man walked into a bar then said "" ouch """,11,"man, bar","man, bar","bar, man",379
125432,2c2f340e409121f07c43fa45c0b407e60c82a79d,"A man walks into a bar... ...and screams ""Ouch!""","a man walks into a bar ... and screams "" ouch ! """,13,"man, bar","man, bar","bar, man",379
133394,2ef863bc2ea1bb1a7ce44836c396e6589a73d7af,2 men walk into a bar... You'd think the 2nd man would've ducked,2 men walk into a bar ...  you'd think the 2nd man would've ducked,14,"man, bar","man, bar","bar, man",379
134352,2f4de0588e1f0ba61c58b7c1a5d9e407b15f3bf1,"What do they say when it's closing time at the divorced men's bar? You don't have to stay here, but you can't go home.","what do they say when it's closing time at the divorced men's bar ? you don't have to stay here , but you can't go home .",27,"man, bar","man, bar","bar, man",379
137863,309376d0aa726f55a000d8b1df23728b9b393bfd,A blind man walks into a bar He should really be more careful next time,a blind man walks into a bar he should really be more careful next time,15,"man, bar","man, bar","bar, man",379
140136,3166659bfa30f41ca8b4602d147ff8dcbda46125,"A man walked into a bar ""Ouch"" he said","a man walked into a bar "" ouch "" he said",11,"man, bar","man, bar","bar, man",379
142533,323dd62d8c762ba5499baff663dd409c8559e70b,two men walk into a bar the third goes under,two men walk into a bar the third goes under,10,"man, bar","man, bar","bar, man",379
146688,33bb83f6c6da556c34fb865a126dacd0d954f875,2 men walk into a bar... You would think one of them saw it,2 men walk into a bar ...  you would think one of them saw it,15,"man, bar","man, bar","bar, man",379
146871,33ca4ff9c756dc265b87e3d0686d94fa0d1a8102,A man walked into a bar. Ouch!,a man walked into a bar . ouch !,9,"man, bar","man, bar","bar, man",379
147913,3424a788e189eb42ecb650625ed411f7c349cf92,A man walks into a bar and says... Ow. That hurt,a man walks into a bar and says ...  ow . that hurt,13,"man, bar","man, bar","bar, man",379
148325,344961eb6f56a7ba90d0133ccc5c0327b9770265,"An irish man walks out of a bar, It can happen.","an irish man walks out of a bar , it can happen .",13,"man, bar","man, bar","bar, man",379
150842,352ee438c2af39fdb560578be95890a9d63b647a,What do you get when you hear a man walking into a bar? A bad joke,what do you get when you hear a man walking into a bar ? a bad joke,17,"man, bar","man, bar","bar, man",379
153298,360bf31835c805415d6b415ecf8d954d37fba049,A man walks into a bar... He says ow.,a man walks into a bar ...  he says ow .,11,"man, bar","man, bar","bar, man",379
153299,360bf31835c805415d6b415ecf8d954d37fba049,A man walks into a bar . . . he says ow.,a man walks into a bar  ...  he says ow .,11,"man, bar","man, bar","bar, man",379
153676,362c18f76e8adb1f9a68b1e71a3b8dce90c16de0,A man walks into a bar.. Ouch.,a man walks into a bar ...  ouch .,9,"man, bar","man, bar","bar, man",379
153677,362c18f76e8adb1f9a68b1e71a3b8dce90c16de0,A man walks into a bar... ouch.,a man walks into a bar ...  ouch .,9,"man, bar","man, bar","bar, man",379
153678,362c18f76e8adb1f9a68b1e71a3b8dce90c16de0,A man walks into a bar... ... ouch.,a man walks into a bar ...  ouch .,9,"man, bar","man, bar","bar, man",379
154540,367a71c67093bcb8b5396cf88becc864b3d79f2c,A man walks into a bar... ... because he didn't see it.,a man walks into a bar ...  because he didn't see it .,13,"man, bar","man, bar","bar, man",379
155973,36f9a9747d173fc50cab64a7ce7ec12d46af8327,"A man walks into a bar.. A man walks into a bar and says ""ouch""","a man walks into a bar ...  a man walks into a bar and says "" ouch """,18,"man, bar","man, bar","bar, man",379
157686,3793d438196dbc39793d3b54d0bc08d5db4c8364,"A man walks into a bar. I asked, Are you okay — That look like it hurt","a man walks into a bar . i asked , are you okay that look like it hurt",18,"man, bar","man, bar","bar, man",379
160840,38b742f250ba523bc26c3036ce28025b58e40f1d,Two men walk in to a bar... Which is really stupid because the second one should've seen it coming.,two men walk in to a bar ...  which is really stupid because the second one should've seen it coming .,21,"man, bar","man, bar","bar, man",379
162464,394a16d7f4654e2c3fc80b3fdcfc2e0b3f55f9ca,A man walks into a bar And goes right through it because hes a t1000,a man walks into a bar and goes right through it because hes a t1000,15,"man, bar","man, bar","bar, man",379
163289,3993f9f7f2e7ccc471cdc1b336fc1cbfe0f225ef,"Man walks into bar. Says ""Ouch!""","man walks into bar . says "" ouch ! """,10,"man, bar","man, bar","bar, man",379
168196,3b509274f366f09e9062f0b3036bafd0e9b3ba46,A Man walks into a bar... how do we know he was blind? again... a man walks into a bar...,a man walks into a bar ...  how do we know he was blind ? again ...  a man walks into a bar ...,24,"man, bar","man, bar","bar, man",379
170898,3c48549bd160ddf429c4ccb0b736d4cea2d79deb,Two men walked into a bar The third one ducked,two men walked into a bar the third one ducked,10,"man, bar","man, bar","bar, man",379
171441,3c79740fde167830039126b14a52e99f60434e0f,A man walks into a bar... Poor guy. Must've hurt.,a man walks into a bar ...  poor guy . must've hurt .,13,"man, bar","man, bar","bar, man",379
172097,3cb565c3309be72af179a10d12202256e6247466,A man walked into a bar He was blind,a man walked into a bar he was blind,9,"man, bar","man, bar","bar, man",379
173145,3d1122dacb8b896a0c51c853e3845c4acd8e412b,"A man walks into a bar, and says ""Ow.""","a man walks into a bar , and says "" ow . """,13,"man, bar","man, bar","bar, man",379
173255,3d1aefec5a827956f1a6576c678b798ea629cd1f,Irish joke So three Irish men walk out of a bar,irish joke so three irish men walk out of a bar,11,"man, bar","man, bar","bar, man",379
176501,3e3eb4df0b96830864bf8861c1b29b29ad51e268,"A blind man and a deaf man walk into a bar ... The blind man says, ""Where are we? The deaf man says, ""What?""","a blind man and a deaf man walk into a bar  ...  the blind man says , "" where are we ? the deaf man says , "" what ? """,31,"man, bar","man, bar","bar, man",379
176960,3e65fb4dd4cabf53b6573179f7fb059587fdc56d,"A man walks into a bar ... He says, ""Ow!""","a man walks into a bar  ...  he says , "" ow ! """,14,"man, bar","man, bar","bar, man",379
177241,3e7e152243f6eb639f7f7ddf59bdd964a1d95965,A man walks in to a bar... He said ouch,a man walks in to a bar ...  he said ouch,11,"man, bar","man, bar","bar, man",379
179414,3f4349a72b945025d247ba6c733c7a5cb0c9c62e,A man walked into a bar That must of hurt.,a man walked into a bar that must of hurt .,11,"man, bar","man, bar","bar, man",379
181411,3ff46f0b9e0d90b573da41b30cf9e7f85875bcd4,A man walked into a bar. A man walked into a bar. It really hurt.,a man walked into a bar . a man walked into a bar . it really hurt .,18,"man, bar","man, bar","bar, man",379
182699,4068ba768b8a6b3880b20998487cf2d423ab2a71,Two men walk into a bar. The third one should've seen it coming.,two men walk into a bar . the third one should've seen it coming .,15,"man, bar","man, bar","bar, man",379
183618,40ba03dd2640c97180056f1f9af05521ffeffb51,"A blind man walks into the bar and says ""Ouch, who put that bar there?""","a blind man walks into the bar and says "" ouch , who put that bar there ? """,19,"bar, man","bar, man","bar, man",379
184019,40db5bfa760240e5d42ea775246438b0dca24007,A man walks into a bar Says ouch!,a man walks into a bar says ouch !,9,"man, bar","man, bar","bar, man",379
184625,41144283fce39cf3e59249c253e2def52b4832ce,A man walks into a bar.. ..I don't know how he didn't see it coming,a man walks into a bar ... i don't know how he didn't see it coming,16,"man, bar","man, bar","bar, man",379
184675,4118a0065f6827c4d1e9d392a9a9bea1445a48a2,So an Irish man walks out of a bar...,so an irish man walks out of a bar ...,10,"man, bar","man, bar","bar, man",379
190353,43195e217dc3fa66afde7b6360ca0e0ca4fdfad9,"A blind man walks into a bar And says ""ouch!!""","a blind man walks into a bar and says "" ouch ! """,13,"man, bar","man, bar","bar, man",379
194214,44733d823ffb0f7d7e91c55a8bacd199e586c76d,Two men walk into a bar. you think the second one would have seen it.,two men walk into a bar . you think the second one would have seen it .,17,"man, bar","man, bar","bar, man",379
196334,453d23466b7a5be102b5a38f43c78e67c634e124,Two Irish men walk into a bar. I would've thought one of them would have seen it.,two irish men walk into a bar . i would've thought one of them would have seen it .,19,"man, bar","man, bar","bar, man",379
198252,45e6c66f7832ff549ea2c016fc6640420ab64a8c,"So a really strong man walks into a bar The bar says, ""ow"".","so a really strong man walks into a bar the bar says , "" ow "" .",17,"bar, man","bar, man","bar, man",379
201602,47149a847f8918b91cc97ff7d9cf6a50957cbcfc,"A man walked into a bar. ""Ouch""","a man walked into a bar . "" ouch """,10,"man, bar","man, bar","bar, man",379
202184,4747e8823c15dbc9a9d72ca91092e512adf5c47f,A blind man walks into a bar He didn't see it coming,a blind man walks into a bar he didn't see it coming,12,"man, bar","man, bar","bar, man",379
204207,48060b774dd963a03780b2a9bdd6716f7c69ad47,A dyslexic man goes into a bar and gets slapped.,a dyslexic man goes into a bar and gets slapped .,11,"man, bar","man, bar","bar, man",379
206223,48bcad102fa60ae0b7ac7d368b5447667c17963d,"an irish man left the bar...... no, really, it happened......","an irish man left the bar ...  no , really , it happened ...",14,"man, bar","man, bar","bar, man",379
211075,4a726404b1c4f80c9cfb630c0c54715d4689b501,"A man walks into a bar . . . He says ""Ow"".","a man walks into a bar  ...  he says "" ow "" .",13,"man, bar","man, bar","bar, man",379
212275,4add49677c283f35a114ca5ddff4acc46c2391f8,Two men walk into a bar Well that wasn't very smart,two men walk into a bar well that wasn't very smart,11,"man, bar","man, bar","bar, man",379
214928,4bbd74b734d80466c0553b25933af9f503dc51c3,Three men walk into the bar... They all drown,three men walk into the bar ...  they all drown,10,"man, bar","man, bar","bar, man",379
218568,4d0924ef1d59725713220afb851bc43a9951304f,Two Irish men walk out of a bar.,two irish men walk out of a bar .,9,"man, bar","man, bar","bar, man",379
218665,4d126444b377107081507f6dd190bc38097e0796,An a-sexual man walks into a bar That wasn't to hard,an a-sexual man walks into a bar that wasn't to hard,11,"man, bar","man, bar","bar, man",379
220272,4d9d570ae9f093790f580cc7f37b205f6e173e53,I still find this funny. A man walks into a bar. &#x200B; Ouch.,i still find this funny . a man walks into a bar . ouch .,15,"man, bar","man, bar","bar, man",379
220273,4d9d570ae9f093790f580cc7f37b205f6e173e53,I still find this funny. A man walks into a bar. Ouch.,i still find this funny . a man walks into a bar . ouch .,15,"man, bar","man, bar","bar, man",379
220545,4db38a7115146cbb3e7542c0355f8973066381d8,Two men walk into a bar... The third man ducked...,two men walk into a bar ...  the third man ducked ...,12,"man, bar","man, bar","bar, man",379
224131,4ef3a9269c6276ee2c889db18c1dbe949be87921,"A man walks into a bar. He then says ""ouch.""","a man walks into a bar . he then says "" ouch . """,14,"man, bar","man, bar","bar, man",379
224262,4f00860ff5899441bbf0350f97d0215ec3d7473d,"A blind man walks into a bar ""Ow""","a blind man walks into a bar "" ow """,10,"man, bar","man, bar","bar, man",379
224325,4f06332634444278d9f3c1219426aecbc83e48b0,"A man walks into a bar... ...and says ""Ouch.""","a man walks into a bar ... and says "" ouch . """,13,"man, bar","man, bar","bar, man",379
225826,4f8dd8c760fe72b80d0f127572f2a135067a19c1,A blind man walks into a bar. And fell down.,a blind man walks into a bar . and fell down .,12,"man, bar","man, bar","bar, man",379
226046,4fa36466058463ca62b2a401d3944d217d7f4f8d,"two men walk into a bar the second one says, ""I didn't see it either""","two men walk into a bar the second one says , "" i didn't see it either """,18,"man, bar","man, bar","bar, man",379
226597,4fd4db24cdf1b7b830c6b5c3bcc1999daff6f9f9,A man went into a bar... ...you would have thought he would duck.,a man went into a bar ... you would have thought he would duck .,15,"man, bar","man, bar","bar, man",379
228800,509fa61c2f9cf4d897de5e5d5fd9736cb1469f60,"A Man walks into a bar... and says ""Ouch!""","a man walks into a bar ...  and says "" ouch ! """,13,"man, bar","man, bar","bar, man",379
230205,511cc1fb69ea0830a97faf25eb9a34574d56cc15,"3 men walk into a bar, one after the other... You'd think the 3rd one would have ducked","3 men walk into a bar , one after the other ...  you'd think the 3rd one would have ducked",20,"man, bar","man, bar","bar, man",379
238243,53f3cfd5fa0385c46430e2e51d01d0587d87f2ec,Three men walk into a bar — You'd think at least one of them would have seen it,three men walk into a bar you'd think at least one of them would have seen it,17,"man, bar","man, bar","bar, man",379
242920,559df15ce4efecec30f02bf2675615c6b0dadacf,A man walks into a bar... Turns out he's blind.,a man walks into a bar ...  turns out he's blind .,12,"man, bar","man, bar","bar, man",379
242960,55a1b50aa9a30a99bf97e9d7f07890e8b0954703,A blind man walks into a bar .,a blind man walks into a bar .,8,"man, bar","man, bar","bar, man",379
242961,55a1b50aa9a30a99bf97e9d7f07890e8b0954703,A blind man walks into a bar.,a blind man walks into a bar .,8,"man, bar","man, bar","bar, man",379
246174,56c56b0343e626349d95c7fb6cf51d166848acdb,"A man walks into a bar... ...and says ""ouch""","a man walks into a bar ... and says "" ouch """,12,"man, bar","man, bar","bar, man",379
246175,56c56b0343e626349d95c7fb6cf51d166848acdb,"A man walks into a bar... and says ""ouch""","a man walks into a bar ...  and says "" ouch """,12,"man, bar","man, bar","bar, man",379
251354,5896348643e49d83e7c5b6b2fe5459483485521e,A man walks into a bar It hurt,a man walks into a bar it hurt,8,"man, bar","man, bar","bar, man",379
251692,58afe2b6129333e4994afe3a43c3a9ced8c61505,"3 drunk men walked into a bar, but another man came with them. He ducked.","3 drunk men walked into a bar , but another man came with them . he ducked .",18,"man, bar","man, bar","bar, man",379
251742,58b427bb6dd81c5c44e98b7a441cb18ba7648441,"A man walks into a bar... He says ""Ow""","a man walks into a bar ...  he says "" ow """,12,"man, bar","man, bar","bar, man",379
252895,591f0a9da90aec8cb0744d43b6e9f664ba564957,"A man walked into a bar... He said ""Ow""","a man walked into a bar ...  he said "" ow """,12,"man, bar","man, bar","bar, man",379
253642,5961ad9b9c64781ef74398c9ba366fe1fcd17a88,Two men walk into a bar You'd think one of them would have seen it EDIT: Them,two men walk into a bar you'd think one of them would have seen it edit : them,18,"man, bar","man, bar","bar, man",379
255432,5a000e1c3a2679da6f9798620e2fa3fce98d40a0,Two men walked into a bar. The third one ducked.,two men walked into a bar . the third one ducked .,12,"man, bar","man, bar","bar, man",379
257426,5abd388db9bf7c87b760f6f84560624d93ee98f6,"A man walks into a bar.. He says, ""ow""","a man walks into a bar ...  he says , "" ow """,13,"man, bar","man, bar","bar, man",379
259065,5b5021efbc5632c57aa755080d9d0e00ab7bb101,Two men walked into a bar. The third man ducked.,two men walked into a bar . the third man ducked .,12,"man, bar","man, bar","bar, man",379
266326,5dec4f4f8626ed133caade6184e3e71b1181edd1,"A Man Walks Into A Bar... And Says ""Aw""","a man walks into a bar ...  and says "" aw """,12,"man, bar","man, bar","bar, man",379
266541,5dffad40cc89ccf0e4ef916cf10744d1be06bc6c,A man walks into a bar... Ouch....,a man walks into a bar ...  ouch ...,9,"man, bar","man, bar","bar, man",379
267354,5e49bf1529ba44a5a020ddfa824c7891d877c2be,"A man walks into a bar... ""Ow!""","a man walks into a bar ...  "" ow ! """,11,"man, bar","man, bar","bar, man",379
268207,5e9c58ce8f0eed1fef59c318ca2fde53cf63aaa3,"A bar walks into a man ""Ow""","a bar walks into a man "" ow """,9,"bar, man","bar, man","bar, man",379
268786,5ed409ca21a49e333bcd43399e94a25b72635c65,A married man walks into a bar,a married man walks into a bar,7,"man, bar","man, bar","bar, man",379
269805,5f2d0d32e2e4c0c9faecf0ebb963892ac1e14d4b,"A man walks into a bar He says ""Ouch""","a man walks into a bar he says "" ouch """,11,"man, bar","man, bar","bar, man",379
271444,5fbb13898bcba156397386105de72ea234d62a9e,A man walked into a bar. Ouch.,a man walked into a bar . ouch .,9,"man, bar","man, bar","bar, man",379
277520,61d47b1eeb800a8965c7d8cf2a5cf5102724c8c4,A blind man walks into a bar That's the joke.,a blind man walks into a bar that's the joke .,11,"man, bar","man, bar","bar, man",379
279705,6296bf824c7c902f0b15bf562edebb79d8207b8c,A man walks into a bar... ... now he is unconscious.,a man walks into a bar ...  now he is unconscious .,12,"man, bar","man, bar","bar, man",379
281079,631192574f772a49c24a93da477bfaff61b98c8f,A blind man walks into a bar It really hurt,a blind man walks into a bar it really hurt,10,"man, bar","man, bar","bar, man",379
281162,631777fe4e29c91f1b5bc1e143cb8a47288e869e,A man walks into a bar.... the bar is then raised to prevent anyone else from walking into it.,a man walks into a bar ...  the bar is then raised to prevent anyone else from walking into it .,21,"bar, man","bar, man","bar, man",379
284143,64260a0c15f955bb5b9282693faad3cca3307ee7,A man walked into a bar. He should have been watching where we was going.,a man walked into a bar . he should have been watching where we was going .,17,"man, bar","man, bar","bar, man",379
287545,65584717c689fd7b121f5926e4a26b56ca2c35f8,"Two men walk into a bar... They're blind, it happens.","two men walk into a bar ...  they're blind , it happens .",13,"man, bar","man, bar","bar, man",379
288591,65b7769aa567206e7c26942715ba57c8334fc388,Three men walk into a bar... You would have thought the third one would duck,three men walk into a bar ...  you would have thought the third one would duck,16,"man, bar","man, bar","bar, man",379
294994,6804055bf4bbfafff9e8c2163899400108fc24e5,three men walked into a bar i ducked,three men walked into a bar i ducked,8,"man, bar","man, bar","bar, man",379
297097,68c6ce5471187b6dccfcfc463cb01c75fc4487bb,"A man walks into a bar... ""Ouch! Stupid F Bar!""","a man walks into a bar ...  "" ouch ! stupid f bar ! """,15,"bar, man","bar, man","bar, man",379
301159,6a397431cc4fa8044514569f53e05368b71fccfb,"Two men walk into a bar... Ding, Ding... OUCH!","two men walk into a bar ...  ding , ding ...  ouch !",13,"man, bar","man, bar","bar, man",379
